t,pivotLx,pivotLy,pivotRx,pivotRy,bobx,boby
0.0,683,72,1184,74,1139,908
0.016666666666666666,684,72,1184,74,1141,908
0.03333333333333333,685,72,1186,74,1145,908
0.05,684,72,1185,74,1149,909
0.06666666666666667,683,72,1183,73,1153,909
0.08333333333333333,685,72,1185,74,1157,910
0.1,683,72,1183,73,1162,909
0.11666666666666667,683,72,1183,74,1168,910
0.13333333333333333,683,72,1184,74,1173,910
0.15,683,72,1183,73,1177,910
0.16666666666666666,684,72,1184,74,1183,910
0.18333333333333332,683,72,1184,74,1189,910
0.2,683,72,1183,74,1194,910
0.21666666666666667,684,72,1184,74,1200,910
0.23333333333333334,683,72,1183,74,1205,910
0.25,683,73,1183,74,1211,910
0.26666666666666666,683,73,1183,74,1215,910
0.2833333333333333,683,73,1183,74,1220,909
0.3,683,73,1183,74,1225,909
0.31666666666666665,683,73,1183,74,1228,909
0.3333333333333333,683,73,1183,74,1233,909
0.35,683,73,1183,74,1236,909
0.36666666666666664,683,73,1183,74,1239,909
0.38333333333333336,683,73,1183,74,1242,909
0.4,683,73,1183,74,1244,909
0.4166666666666667,682,73,1183,74,1246,908
0.43333333333333335,683,73,1183,74,1247,908
0.45,683,73,1183,74,1247,908
0.4666666666666667,682,74,1182,74,1248,909
0.48333333333333334,683,74,1183,74,1248,908
0.5,681,74,1182,75,1247,908
0.5166666666666667,682,74,1182,74,1246,908
0.5333333333333333,682,74,1183,76,1244,909
0.55,681,74,1181,75,1242,909
0.5666666666666667,682,74,1182,75,1240,909
0.5833333333333334,681,74,1182,76,1236,910
0.6,681,74,1181,76,1233,910
0.6166666666666667,681,74,1181,75,1229,910
0.6333333333333333,681,74,1181,75,1224,910
0.65,681,74,1181,75,1220,911
0.6666666666666666,682,74,1181,76,1215,911
0.6833333333333333,681,74,1181,76,1210,911
0.7,681,74,1181,75,1205,911
0.7166666666666667,681,74,1181,76,1199,911
0.7333333333333333,681,74,1181,76,1194,911
0.75,681,74,1181,75,1189,912
0.7666666666666667,681,74,1181,76,1182,911
0.7833333333333333,681,74,1181,76,1177,911
0.8,681,74,1181,76,1171,911
0.8166666666666667,681,74,1181,76,1167,911
0.8333333333333334,681,74,1181,76,1161,911
0.85,681,74,1181,76,1155,911
0.8666666666666667,681,74,1181,76,1151,911
0.8833333333333333,681,74,1181,76,1147,911
0.9,681,74,1180,76,1142,911
0.9166666666666666,681,74,1181,76,1139,911
0.9333333333333333,681,74,1181,76,1135,911
0.95,680,74,1179,76,1133,911
0.9666666666666667,681,74,1180,76,1131,911
0.9833333333333333,680,75,1179,76,1127,911
1.0,680,74,1179,76,1127,911
1.0166666666666666,681,75,1180,76,1125,911
1.0333333333333334,679,75,1179,76,1125,911
1.05,680,75,1179,76,1125,911
1.0666666666666667,680,75,1179,76,1125,911
1.0833333333333333,679,75,1179,76,1127,911
1.1,679,75,1179,76,1127,911
1.1166666666666667,679,75,1179,76,1129,911
1.1333333333333333,679,75,1179,76,1132,911
1.15,679,75,1179,76,1135,911
1.1666666666666667,679,75,1178,76,1138,911
1.1833333333333333,679,75,1179,76,1142,912
1.2,679,75,1179,76,1145,912
1.2166666666666666,679,75,1179,76,1150,912
1.2333333333333334,679,75,1179,76,1155,913
1.25,679,75,1178,76,1159,913
1.2666666666666666,679,75,1179,76,1165,913
1.2833333333333334,679,76,1179,77,1170,913
1.3,679,76,1178,77,1175,913
1.3166666666666667,679,76,1179,77,1181,913
1.3333333333333333,679,76,1179,77,1186,913
1.35,679,76,1178,77,1192,913
1.3666666666666667,679,76,1179,77,1197,913
1.3833333333333333,679,76,1178,77,1202,913
1.4,679,76,1178,77,1208,913
1.4166666666666667,679,76,1179,77,1212,912
1.4333333333333333,679,76,1177,77,1217,912
1.45,679,76,1178,77,1222,912
1.4666666666666666,679,76,1178,77,1226,911
1.4833333333333334,679,76,1178,77,1230,911
1.5,679,76,1178,77,1233,911
1.5166666666666666,678,76,1177,77,1236,911
1.5333333333333334,679,76,1178,77,1238,911
1.55,679,76,1178,77,1240,911
1.5666666666666667,678,76,1177,77,1242,911
1.5833333333333333,679,76,1177,77,1243,911
1.6,679,76,1177,77,1243,911
1.6166666666666667,678,76,1177,77,1244,911
1.6333333333333333,679,76,1177,77,1244,911
1.65,678,76,1177,77,1242,911
1.6666666666666667,679,76,1177,78,1242,911
1.6833333333333333,678,76,1177,78,1239,911
1.7,677,76,1177,77,1237,911
1.7166666666666666,679,76,1177,77,1234,911
