t,orangeLx,orangeLy,orangeRx,orangeRy,bluex,bluey
0.0,1183,917,707,77,1209,81
0.03333333333333333,1168,915,707,76,1210,81
0.06666666666666667,1152,914,707,77,1210,82
0.1,1140,913,708,76,1210,81
0.13333333333333333,1128,913,707,76,1209,82
0.16666666666666666,1121,911,708,76,1210,81
0.2,1115,911,707,76,1209,81
0.23333333333333334,1113,910,708,76,1210,81
0.26666666666666666,1114,911,707,76,1209,81
0.3,1117,911,708,76,1210,81
0.3333333333333333,1125,912,707,76,1209,81
0.36666666666666664,1134,913,708,76,1210,81
0.4,1147,914,707,77,1209,81
0.43333333333333335,1160,915,708,76,1210,81
0.4666666666666667,1176,916,707,76,1209,81
0.5,1193,916,708,76,1210,81
0.5333333333333333,1211,916,707,76,1210,81
0.5666666666666667,1227,916,707,76,1210,81
0.6,1244,915,707,76,1210,81
0.6333333333333333,1258,915,707,76,1210,81
0.6666666666666666,1272,914,708,76,1210,81
0.7,1283,913,707,76,1210,81
0.7333333333333333,1292,912,707,76,1210,81
0.7666666666666667,1298,912,707,77,1209,81
0.8,1300,912,708,76,1210,81
0.8333333333333334,1300,911,707,76,1209,81
0.8666666666666667,1296,912,707,76,1210,81
0.9,1290,912,707,76,1209,81
0.9333333333333333,1280,914,708,76,1210,81
0.9666666666666667,1269,914,707,76,1209,81
1.0,1255,915,708,76,1210,81
1.0333333333333334,1239,915,707,76,1210,81
1.0666666666666667,1222,916,707,76,1210,81
1.1,1206,916,707,76,1210,81
1.1333333333333333,1188,916,707,76,1210,81
1.1666666666666667,1172,915,707,76,1210,81
1.2,1156,915,707,76,1210,81
1.2333333333333334,1143,913,707,76,1210,81
1.2666666666666666,1131,913,707,76,1210,81
1.3,1123,912,707,76,1210,81
1.3333333333333333,1116,911,707,76,1210,81
1.3666666666666667,1113,911,708,76,1210,81
1.4,1113,911,707,76,1210,81
1.4333333333333333,1116,911,708,76,1210,81
1.4666666666666666,1122,912,707,76,1210,81
1.5,1131,913,707,76,1210,81
1.5333333333333334,1143,914,707,76,1210,81
1.5666666666666667,1157,915,707,76,1210,81
1.6,1172,915,707,76,1210,81
1.6333333333333333,1188,916,707,76,1210,81
1.6666666666666667,1206,916,707,76,1210,81
1.7,1223,916,707,76,1210,81
1.7333333333333334,1240,916,707,76,1210,81
1.7666666666666666,1255,915,707,76,1210,81
1.8,1269,914,707,76,1210,81
1.8333333333333333,1281,913,707,76,1210,81
1.8666666666666667,1290,913,707,76,1210,81
1.9,1297,912,707,76,1210,81
1.9333333333333333,1300,912,707,76,1210,81
1.9666666666666666,1301,912,707,76,1210,81
2.0,1297,912,707,76,1210,81
2.033333333333333,1292,912,707,76,1210,81
2.066666666666667,1283,913,707,76,1210,81
2.1,1272,914,707,76,1210,81
2.1333333333333333,1259,915,707,76,1210,81
2.1666666666666665,1243,915,707,76,1210,81
2.2,1227,916,707,76,1210,81
2.2333333333333334,1210,916,707,76,1210,81
2.2666666666666666,1193,916,707,76,1210,81
2.3,1176,915,707,76,1210,81
2.3333333333333335,1160,915,707,76,1210,81
2.3666666666666667,1146,914,707,76,1210,81
2.4,1134,913,707,76,1210,81
2.433333333333333,1124,912,707,76,1210,81
2.466666666666667,1117,911,707,76,1210,81
2.5,1114,911,707,76,1210,81
2.533333333333333,1113,911,707,76,1210,81
2.566666666666667,1115,911,707,76,1210,81
2.6,1121,911,707,76,1210,81
2.6333333333333333,1129,912,707,76,1210,81
2.6666666666666665,1140,914,707,76,1210,81
2.7,1153,914,707,76,1210,81
2.7333333333333334,1168,915,707,76,1210,81
2.7666666666666666,1184,916,707,76,1210,81
2.8,1201,916,707,76,1210,81
2.8333333333333335,1219,916,707,76,1210,81
2.8666666666666667,1235,916,707,76,1210,81
2.9,1251,915,707,76,1210,81
2.933333333333333,1265,914,707,76,1210,81
2.966666666666667,1278,914,707,76,1210,81
3.0,1288,913,707,76,1210,81
3.033333333333333,1295,912,707,76,1210,81
3.066666666666667,1299,911,707,76,1210,81
3.1,1301,912,707,76,1210,81
3.1333333333333333,1299,912,707,76,1210,81
3.1666666666666665,1294,912,707,76,1210,81
